TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
6436,0.1,0.76,23.14,16.08,1542.75,32,36,-0.78,5.47
6437,0.18,0.76,23.14,16.08,1542.75,32,36,0.78,5.47
6438,0.18,0.76,23.14,16.08,1542.75,32,36,0.78,5.47
6439,0.74,0.76,23.14,16.08,1550.75,32,36,0.78,5.47
6440,0.74,0.76,23.14,16.08,1550.75,32,36,0.78,5.47
6441,0.74,0.76,23.14,16.08,1550.75,32,36,0.78,5.47
6442,0.78,0.76,23.14,16.08,1554.5,32,36,0.78,5.47
6443,0.78,0.76,23.14,16.08,1554.5,32,36,0.78,5.47
6444,0.78,0.76,23.14,16.08,1554.5,32,36,0.78,5.47
6445,0.72,0.76,23.14,16.08,1554.5,31,36,0,5.47
6446,0.72,0.76,23.14,16.08,1554.5,31,36,0,5.47
6447,0.72,0.76,23.14,16.08,1554.5,31,36,0,5.47
6448,0.4,0.76,23.14,16.08,1558.5,31,36,-0.78,5.47
6449,0.4,0.76,23.14,16.08,1558.5,31,36,-0.78,5.47
6450,0.4,0.76,23.14,16.08,1558.5,31,36,-0.78,5.47
6451,0.1,0.76,23.14,16.47,1558.5,31,36,-0.78,5.47
6452,0.1,0.76,23.14,16.47,1558.5,31,36,-0.78,5.47
6453,0.1,0.76,23.14,16.47,1562.5,31,36,0,5.47
6454,0.1,0.76,23.14,16.47,1562.5,31,36,0,5.47
6455,0.1,0.76,23.14,16.47,1562.5,31,36,0,5.47
6456,0.5,0.76,23.14,16.47,1562.5,31,37,1.56,5.47
6457,0.5,0.76,23.14,16.47,1562.5,31,37,1.56,5.47
6458,0.5,0.76,23.14,16.47,1562.5,31,37,1.56,5.47
6459,0.78,0.76,23.14,16.47,1566.25,31,37,1.56,5.47
6460,0.78,0.76,23.14,16.47,1566.25,31,37,1.56,5.47
6461,0.78,0.76,23.14,16.47,1566.25,31,37,1.56,5.47
6462,0.8,0.76,23.14,16.08,1570.25,31,37,0.78,5.47
6463,0.8,0.76,23.14,16.08,1570.25,31,37,0.78,5.47
6464,0.8,0.76,23.14,16.47,1566.25,31,37,0.78,5.47
